Vokabel;Uebersetzung;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
Welcome to Camden Town!;Willkommen in Camden Town!;passiv;Welcome;I;ph;;
Welcome to;Willkommen in;passiv;Welcome;I;ph;;
can;können;aktiv;Welcome;I;v;*can* <> *can't* / *cannot*;
can't (= cannot);nicht können;aktiv;Welcome;I;ph;;
to see;sehen;aktiv;Welcome;I;irr;I can *see* a car.;
a/an;ein(e);aktiv;Welcome;I;d;*a* car / *an* email;
car;Auto;aktiv;Welcome;I;s;;
I;ich;aktiv;Welcome;I;p;;
to listen to;zuhören, (an)hören;aktiv;Welcome;I;ph;*Listen to* the CD.;
and;und;aktiv;Welcome;I;k;;
my;mein(e);aktiv;Welcome;I;d;;
name;Name;aktiv;Welcome;I;s;;
My name is;Ich heiße;aktiv;Welcome;I;ph;;
is;ist;aktiv;Welcome;I;irr;;
What's your name?;Wie heißt du?;aktiv;Welcome;I;ph;;
hello;hallo!;aktiv;Welcome;I;i;;
I'm (= I am);ich bin, auch: ich heiße;aktiv;Welcome;I;ph;;
am;bin;aktiv;Welcome;I;irr;;
Hello, I'm …;Hallo, ich heiße …;aktiv;Welcome;I;ph;;
Where are you from?;Woher kommst du?;aktiv;Welcome;I;ph;;
you;du, dich, dir, Sie, Ihnen, ihr, euch;aktiv;Welcome;I;p;;
I'm from …;Ich komme aus …;aktiv;Welcome;I;ph;;
from;von, aus;aktiv;Welcome;I;pr;;
This is my brother/sister.;Das ist mein Bruder/meine Schwester.;aktiv;Welcome;I;ph;;
this;diese(r, s), das;aktiv;Welcome;I;p;;
brother;Bruder;aktiv;Welcome;I;s;;
sister;Schwester;aktiv;Welcome;I;s;;
How old are you?;Wie alt bist du?;aktiv;Welcome;I;ph;;
how;wie;aktiv;Welcome;I;av;;
old;alt;aktiv;Welcome;I;a;;
I'm ten.;Ich bin zehn (Jahre alt).;aktiv;Welcome;I;ph;;
are;bist, sind, seid;aktiv;Welcome;I;v;;
I'm eleven years old.;Ich bin elf (Jahre alt).;aktiv;Welcome;I;ph;;
We're twelve.;Wir sind zwölf (Jahre alt).;aktiv;Welcome;I;ph;;
I'm … years old.;Ich bin … Jahre alt.;aktiv;Welcome;I;ph;;
year;Jahr;aktiv;Welcome;I;s;;
we're (= we are);wir sind;aktiv;Welcome;I;ph;;
we;wir;aktiv;Welcome;I;p;;
too;auch;aktiv;Welcome;I;av;I like elephants, *too*.;
twin;Zwilling;passiv;Welcome;I;s;;
Elephants are my favourite animals.;Elefanten sind meine Lieblingstiere.;aktiv;Welcome;I;ph;;
elephant;Elefant;aktiv;Welcome;I;s;;
My favourite … is;Mein Lieblings… ist;aktiv;Welcome;I;ph;;
favourite;Lieblings-;aktiv;Welcome;I;a;;
animal;Tier;aktiv;Welcome;I;s;;
boring;langweilig;passiv;Welcome;I;a;;
