_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis
2492;France;['France'];[('France', ['PropN 3sg'])];['F65200'];['France'];[('France', ['PropN 3sg'])];[('France', 'PropN')];Frankreich;[['Frankreich']];[''];['376474'];[''];[''];aktiv;3/B2;III;s;Paris is the biggest city in France.;
2493;to capture;['to capture'];[('to', ['V TO']), ('capture', ['V INF'])];['T0 T136000'];['capture'];[('capture', ['V INF'])];[('capture', 'V')];gefangen nehmen, festnehmen;[['gefangen nehmen'], ['festnehmen']];[''];[['43646 666'], ['382666']];[''];[''];passiv;3/B2;III;v;;
2494;brother-in-law;['brother-in-law'];[('brother-in-law', ['N 3sg'])];['B6365400000000'];['brother-in-law'];[('brother-in-law', ['N 3sg'])];[('brother-in-law', 'N')];Schwager;[['Schwager']];[''];['8347'];[''];[''];passiv;3/B2;III;s;;
2495;as soon as;['as soon as'];[('as', ['Adv']), ('soon', ['Adv']), ('as', ['Adv'])];['A2 A500 A2'];['as', 'soon', 'as'];[('as', ['Adv']), ('soon', ['Adv']), ('as', ['Adv'])];[('as', 'Adv'), ('soon', 'Adv'), ('as', 'Adv')];sobald, hier: als, in dem Moment, als ...;[['sobald'], ['als, in dem Moment, als']];[''];[['8152'], ['058  06 26 6662  058']];[''];[''];aktiv;3/B2;III;ph;As soon as Victoria went outside, it started to rain.;
2496;to rescue;['to rescue'];[('to', ['V TO']), ('rescue', ['V INF'])];['T0 T20000'];['rescue'];[('rescue', ['V INF'])];[('rescue', 'V')];retten, befreien;[['retten'], ['befreien']];[''];[['726'], ['1376']];[''];[''];aktiv;3/B2;III;v;My brother is my hero. He rescued me and saved my life.;
2497;to make a promise (irr);['to make a promise'];[('to', ['V TO']), ('make', ['V INF']), ('a', ['Det']), ('promise', ['N 3sg'])];['T0 T200 T T652000'];['make', 'a', 'promise'];[('make', ['V INF']), ('a', ['Det']), ('promise', ['N 3sg'])];[('make', 'V'), ('a', 'Det'), ('promise', 'N')];ein Versprechen geben;[['ein Versprechen geben']];[''];['06 3781746 416'];[''];[''];aktiv;3/B2;III;ph;Our teacher made a promise that we would not have any homework.;
2498;the Channel;['the Channel'];[('the', ['Det']), ('Channel', ['N 3sg'])];['T00 T540000'];['the', 'channel'];[('the', ['Det']), ('channel', ['N 3sg'])];[('the', 'Det'), ('channel', 'N')];der Ärmelkanal;[['der Ärmelkanal']];[''];['27 0765465'];[''];[''];aktiv;3/B2;III;s;The Channel is the sea between England and France.;
2499;wine;['wine'];[('wine', ['N 3sg'])];['W500'];['wine'];[('wine', ['N 3sg'])];[('wine', 'N')];Wein;[['Wein']];[''];['36'];[''];[''];aktiv;3/B2;III;s;France is famous for its wine.;
2500;army;['army'];[('army', ['N 3sg'])];['A650'];['army'];[('army', ['N 3sg'])];[('army', 'N')];Armee, Heer;[['Armee'], ['Heer']];[''];[['076'], ['07']];[''];[''];aktiv;3/B2;III;s;;
2501;to ache;['to ache'];[('to', ['V TO']), ('ache', ['V INF'])];['T0 T200'];['ache'];[('ache', ['V INF'])];[('ache', 'V')];schmerzen, wehtun;[['schmerzen'], ['wehtun']];[''];[['86786'], ['326']];[''];[''];aktiv;3/B2;III;v;After three days of walking, David’s legs ached.;
